name,sport,nationality,sex,date_of_birth,age (at start of games),height,weight
Diego Hypolito,gymnastics,BRA,male,19/06/1986,30.2,1.7,68
Murilo Antonio Fischer,cycling,BRA,male,16/06/1979,37.2,1.7,68
Samuil Donkov,shooting,BUL,male,20/06/1983,33.2,1.7,68
Brenda Bowskill,sailing,CAN,female,21/04/1992,24.3,1.7,68
Suraju Saka,table tennis,CGO,male,05/05/1976,40.3,1.7,68
Xiaoling Luo,cycling,CHN,female,20/09/1988,27.9,1.7,68
Filip Ude,gymnastics,CRO,male,03/06/1986,30.2,1.7,68
Leydi Laura Moya,modern pentathlon,CUB,female,16/04/1992,24.3,1.7,68
Anne-Marie Rindom,sailing,DEN,female,14/06/1991,25.2,1.7,68
Cathrine Dufour,equestrian,DEN,female,02/01/1992,24.6,1.7,68
Manich Bech,football,DEN,male,13/01/1993,23.6,1.7,68
Simone Christensen,cycling,DEN,female,10/02/1994,22.5,1.7,68
Antonio Arroyo Perez,aquatics,ESP,male,09/05/1994,22.3,1.7,68
Matthieu Rosset,aquatics,FRA,male,26/05/1990,26.2,1.7,68
Makiko Tomita,rugby sevens,JPN,female,02/08/1991,25,1.7,68
Chong Wei Lee,badminton,MAS,male,21/10/1982,33.8,1.7,68
Tze Liang Ooi,aquatics,MAS,male,19/11/1993,22.7,1.7,68
Tsogtbaatar Tsend-Ochir,judo,MGL,male,16/03/1996,20.4,1.7,68
Jovanka Radicevic,handball,MNE,female,23/10/1986,29.8,1.7,68
Merle van Benthem,cycling,NED,female,07/12/1992,23.7,1.7,68
Bode Abiodun,table tennis,NGR,male,10/09/1980,35.9,1.7,68
Alonso Valdez Prado,equestrian,PER,male,23/01/1978,38.6,1.7,68
Beata Mikolajczyk,canoe,POL,female,15/10/1985,30.8,1.7,68
Amanda Ng,sailing,SIN,female,03/05/1994,22.3,1.7,68
Leonard Ong,sailing,SIN,male,09/12/1992,23.7,1.7,68
Riheb Hammami,sailing,TUN,female,04/06/1989,27.2,1.7,68
Oleh Omelchuk,shooting,UKR,male,07/06/1983,33.2,1.7,68
Freddy Mezones,athletics,VEN,male,24/09/1987,28.9,1.7,68
Isis Gimenez,fencing,VEN,female,30/07/1990,26,1.7,68
Quoc Cuong Tran,shooting,VIE,male,27/07/1974,42.1,1.7,68
Elena Allen,shooting,GBR,female,12/07/1972,44.1,1.69,68
Raymond Ovinou,judo,PNG,male,06/09/1984,31.9,1.69,68
Jean-Marc Gardette,sailing,SEY,male,04/07/1984,32.1,1.69,68
Martina Kohlova,canoe,SVK,female,16/11/1984,31.7,1.69,68
Dorlan Pabon,football,COL,male,24/01/1988,28.6,1.68,68
Alicia Cebrian Martinez de Lagos,sailing,ESP,female,03/02/1983,33.5,1.68,68
Pippa Funnell,equestrian,GBR,female,07/10/1968,47.9,1.68,68
Charlotte Stapenhorst,hockey,GER,female,15/06/1995,21.2,1.68,68
Sopuruchi Dimgba,football,NGR,male,29/03/1993,23.4,1.68,68
Frank Aniello Molinaro,wrestling,USA,male,27/12/1988,27.6,1.68,68
Lauren Doyle,rugby sevens,USA,female,23/02/1991,25.5,1.68,68
Phillip Dutton,equestrian,USA,male,13/09/1963,52.9,1.68,68
Uschi Freitag,aquatics,NED,female,19/08/1989,27,1.67,68
Chloe Marie Helene Sauvourel,aquatics,CAF,female,18/06/1999,17.1,1.66,68
Caroline Buchanan,cycling,AUS,female,24/10/1990,25.8,1.65,68
Brittany Benn,rugby sevens,CAN,female,23/04/1989,27.3,1.65,68
Ellie Faulkner,aquatics,GBR,female,05/01/1993,23.6,1.65,68
Samantha Kassman,taekwondo,PNG,female,23/01/1984,32.6,1.65,68
Sergiu Oleinic,judo,POR,male,25/12/1985,30.6,1.65,68
Yong Gwang Kwon,weightlifting,PRK,male,14/01/1996,20.6,1.65,68
Adrien Niyonshuti,cycling,RWA,male,02/01/1987,29.6,1.65,68
Rutendo Makore,football,ZIM,female,30/09/1992,23.9,1.65,68
Fabian Hambuechen,gymnastics,GER,male,25/10/1987,28.8,1.64,68
Toni Syarifudin,cycling,INA,male,13/06/1991,25.2,1.64,68
Yuki Ebihara,athletics,JPN,female,28/10/1985,30.8,1.64,68
Seiyoung Kim,golf,KOR,female,21/01/1993,23.6,1.63,68
Kelly Griffin,rugby sevens,USA,female,07/11/1986,29.8,1.63,68
Charity Williams,rugby sevens,CAN,female,20/10/1996,19.8,1.62,68
Patrycja Piechowiak,weightlifting,POL,female,01/09/1992,23.9,1.62,68
Nikola Mazurova,shooting,CZE,female,22/11/1994,21.7,1.6,68
Claudette Mukasakindi,athletics,RWA,female,25/12/1982,33.6,1.6,68
Georgina Parker,hockey,AUS,female,26/04/1989,27.3,1.59,68
Arcangeline Fouodji Sonkbou,weightlifting,CMR,female,26/08/1987,29,1.58,68
Florina-Sorina Hulpan,weightlifting,ROU,female,07/03/1997,19.4,1.58,68
Alyxandria Treasure,athletics,CAN,female,15/05/1992,24.2,1.55,68
Sara Ahmed,weightlifting,EGY,female,01/01/1998,18.6,1.55,68
Debra Daniel,aquatics,FSM,female,04/03/1991,25.4,1.53,68
Sam McEntee,athletics,AUS,male,03/02/1992,24.5,1.91,67
Tatiana Kosheleva,volleyball,RUS,female,23/12/1988,27.6,1.91,67
Laurens de Plus,cycling,BEL,male,04/09/1995,20.9,1.88,67
Lina Zhao,football,CHN,female,18/09/1991,24.9,1.88,67
Michael Mason,athletics,CAN,male,30/09/1986,29.9,1.86,67
Liam Pitchford,table tennis,GBR,male,12/07/1993,23.1,1.86,67
Wout Poels,cycling,NED,male,01/10/1987,28.9,1.86,67
Ole Hesselbjerg,athletics,DEN,male,23/04/1990,26.3,1.85,67
Jakub Jelonek,athletics,POL,male,07/07/1985,31.1,1.85,67
Matej Mohoric,cycling,SLO,male,19/10/1994,21.8,1.85,67
Teau McKenzie,sailing,COK,female,12/03/1995,21.4,1.83,67
Sime Fantela,sailing,CRO,male,19/01/1986,30.6,1.83,67
Takashi Eto,athletics,JPN,male,05/02/1991,25.5,1.83,67
Galina Voskoboeva,tennis,KAZ,female,18/12/1984,31.7,1.83,67
Heungmin Son,football,KOR,male,08/07/1992,24.1,1.83,67
Inge Dekker,aquatics,NED,female,18/08/1985,31,1.83,67
Lauren Boyle,aquatics,NZL,female,14/12/1987,28.7,1.83,67
Maja Ognjenovic,volleyball,SRB,female,06/08/1984,32,1.83,67
Ivan Ivanov,triathlon,UKR,male,08/01/1989,27.6,1.83,67
Ziao Qiu,aquatics,CHN,male,30/08/1998,17.9,1.82,67
Marharyta Makhneva,canoe,BLR,female,13/02/1992,24.5,1.81,67
Nigora Tursunkulova,taekwondo,UZB,female,04/04/1999,17.4,1.81,67
Aaron Royle,triathlon,AUS,male,26/01/1990,26.5,1.8,67
Kevin Borlee,athletics,BEL,male,22/02/1988,28.5,1.8,67
Tatsiana Likhtarovich,basketball,BLR,female,29/03/1988,28.4,1.8,67
Xia Ding,volleyball,CHN,female,13/01/1990,26.6,1.8,67
Xin Xu,table tennis,CHN,male,08/01/1990,26.6,1.8,67
Abdoulkarim Fawziya,volleyball,CMR,female,01/03/1989,27.4,1.8,67
Coralie Balmy,aquatics,FRA,female,02/06/1987,29.2,1.8,67
Ludvy Vaillant,athletics,FRA,male,15/03/1995,21.4,1.8,67
Renata Tobai Sike,shooting,HUN,female,10/07/1978,38.1,1.8,67
Eseosa Desalu,athletics,ITA,male,19/02/1994,22.5,1.8,67
Kei Takase,athletics,JPN,male,25/11/1988,27.7,1.8,67
Tomoya Miguchi,modern pentathlon,JPN,male,26/04/1986,30.3,1.8,67
Saehyuk Joo,table tennis,KOR,male,20/01/1980,36.6,1.8,67
Chierika Ukogu,rowing,NGR,female,02/10/1992,23.9,1.8,67
Nelson Filipe Santos Simoes Oliveira,cycling,POR,male,06/03/1989,27.4,1.8,67
Diamara Planell,athletics,PUR,female,16/02/1993,23.5,1.8,67
Ekaterina Makarova,tennis,RUS,female,07/06/1988,28.2,1.8,67
Dusan Majdan,athletics,SVK,male,08/09/1987,28.9,1.8,67
Nur Tatar,taekwondo,TUR,female,16/08/1992,24,1.8,67
Alina Logvynenko,athletics,UKR,female,18/07/1990,26.1,1.8,67
Ruslan Dmytrenko,athletics,UKR,male,22/03/1986,30.4,1.8,67
Farhan Farhan,aquatics,BRN,male,24/10/1996,19.8,1.79,67
Yuanhui Fu,aquatics,CHN,female,07/01/1996,20.6,1.79,67
Diego Milan Jimenez,cycling,DOM,male,10/07/1985,31.1,1.79,67
Dorothea Brandt,aquatics,GER,female,05/03/1984,32.4,1.79,67
Sarah Kohler,aquatics,GER,female,20/06/1994,22.1,1.79,67
Kinga Kolosinska,volleyball,POL,female,02/06/1990,26.2,1.79,67
Cyrille Thiery,cycling,SUI,male,27/09/1990,25.9,1.79,67
Viktoriya Tkachuk,athletics,UKR,female,08/11/1994,21.8,1.79,67
Xueer Wang,aquatics,CHN,female,15/01/1998,18.6,1.78,67
Diego Palomeque,athletics,COL,male,05/12/1993,22.7,1.78,67
Fernando Alarza,triathlon,ESP,male,23/03/1991,25.4,1.78,67
Manuel Fernandez Saro,equestrian,ESP,male,27/01/1975,41.6,1.78,67
Estelle Nze-Minko,handball,FRA,female,11/08/1991,25,1.78,67
Rita Keszthelyi,aquatics,HUN,female,10/12/1991,24.7,1.78,67
Florina Chintoan,handball,ROU,female,06/12/1985,30.7,1.78,67
Isabelle Forrer,volleyball,SUI,female,28/03/1982,34.4,1.78,67
Daryna Zevina,aquatics,UKR,female,01/09/1994,21.9,1.78,67
Hanna Kasyanova,athletics,UKR,female,24/04/1983,33.3,1.78,67
Tetyana Bilenko,table tennis,UKR,female,23/11/1983,32.7,1.78,67
Kendell Williams,athletics,USA,female,14/06/1995,21.2,1.78,67
Edgar Contreras,taekwondo,VEN,male,16/07/1992,24.1,1.78,67
Lucie Safarova,tennis,CZE,female,04/02/1987,29.5,1.77,67
Helen Glover,rowing,GBR,female,17/06/1986,30.2,1.77,67
Anneloes van Veen,sailing,NED,female,07/08/1990,26,1.77,67
Olga Savchuk,tennis,UKR,female,20/09/1987,28.9,1.77,67
Vadim Skorovarov,shooting,UZB,male,04/08/1996,20,1.77,67
Paixao Afonso,sailing,ANG,male,02/01/1991,25.6,1.76,67
Henrique Avancini,cycling,BRA,male,30/03/1989,27.4,1.76,67
Viviane Bahia,aquatics,BRA,female,14/02/1994,22.5,1.76,67
Arley Rodriguez,football,COL,male,13/02/1993,23.5,1.76,67
Mimosa Jallow,aquatics,FIN,female,17/06/1994,22.2,1.76,67
Pardeep Mor,hockey,IND,male,03/06/1992,24.2,1.76,67
Svetlana Germanovich,rowing,KAZ,female,21/09/1986,29.9,1.76,67
Mothobi Mvala,football,RSA,male,14/06/1994,22.2,1.76,67
Evgeniya Ivanova,aquatics,RUS,female,26/07/1987,29,1.76,67
Elin Johansson,taekwondo,SWE,female,05/08/1990,26,1.76,67
Jamina Roberts,handball,SWE,female,28/05/1990,26.2,1.76,67
Leah Smith,aquatics,USA,female,19/04/1995,21.3,1.76,67
David Powell,table tennis,AUS,male,08/04/1991,25.3,1.75,67
Rafaelle,football,BRA,female,18/06/1991,25.2,1.75,67
Wenjun Ren,canoe,CHN,female,15/01/1992,24.6,1.75,67
Abdelaziz Merzougui,athletics,ESP,male,30/08/1991,25,1.75,67
Feyisa Lilesa,athletics,ETH,male,01/02/1990,26.5,1.75,67
Anish Khem,football,FIJ,male,27/08/1993,23,1.75,67
Sarah Steyaert,sailing,FRA,female,27/11/1986,29.7,1.75,67
Holly Bradshaw,athletics,GBR,female,02/11/1991,24.8,1.75,67
Maria Erdi,sailing,HUN,female,18/02/1998,18.5,1.75,67
Ghader Mizbani Iranagh,cycling,IRI,male,06/12/1975,40.7,1.75,67
Dudi Sela,tennis,ISR,male,04/04/1985,31.4,1.75,67
Cansel Deniz,taekwondo,KAZ,female,26/08/1991,25,1.75,67
Hyunji Yoo,handball,KOR,female,16/07/1984,32.1,1.75,67
Andela Bulatovic,handball,MNE,female,15/01/1987,29.6,1.75,67
Andrea Kneppers,aquatics,NED,female,24/02/1993,23.5,1.75,67
Meikayla Moore,football,NZL,female,04/06/1996,20.2,1.75,67
Deolin Mekoa,football,RSA,male,10/08/1993,23,1.75,67
Hope Solo,football,USA,female,30/07/1981,35,1.75,67
Clarisa Sagardia,volleyball,ARG,female,29/06/1989,27.1,1.74,67
Ashlee Ankudinoff,cycling,AUS,female,20/08/1990,26,1.74,67
Lucy Stephan,rowing,AUS,female,10/12/1991,24.7,1.74,67
Yu Zhou,canoe,CHN,female,23/01/1989,27.6,1.74,67
Matilde Ortiz Reyes,aquatics,ESP,female,16/09/1990,25.9,1.74,67
Liina Laasma,athletics,EST,female,13/01/1992,24.6,1.74,67
Laurisa Landre,handball,FRA,female,27/10/1985,30.8,1.74,67
Andras Parti,cycling,HUN,male,18/09/1982,33.9,1.74,67
Monica de Gennaro,volleyball,ITA,female,08/01/1987,29.6,1.74,67
Takumi Minamino,football,JPN,male,16/01/1995,21.6,1.74,67
Abdelkebir Ouaddar,equestrian,MAR,male,15/07/1962,54.1,1.74,67
Artur Brzozowski,athletics,POL,male,29/03/1985,31.4,1.74,67
Clare Polkinghorne,football,AUS,female,01/02/1989,27.5,1.73,67
Farida Azizova,taekwondo,AZE,female,06/06/1995,21.2,1.73,67
Raphael Gagne,cycling,CAN,male,16/07/1987,29.1,1.73,67
Allan Norregaard,sailing,DEN,male,19/03/1981,35.4,1.73,67
Eduardo Alvarez Aznar,equestrian,ESP,male,01/01/1984,32.6,1.73,67
Aude Compan,sailing,FRA,female,03/03/1993,23.4,1.73,67
Hannah Kruger,hockey,GER,female,04/09/1988,27.9,1.73,67
Aniya Necol Louissaint,taekwondo,HAI,female,09/09/1998,17.9,1.73,67
Luisa Trombetti,aquatics,ITA,female,05/09/1993,22.9,1.73,67
Simone Ruffini,aquatics,ITA,male,07/12/1989,26.7,1.73,67
Chilsung Park,athletics,KOR,male,08/07/1982,34.1,1.73,67
Laurien Leurink,hockey,NED,female,13/11/1994,21.7,1.73,67
Barakat Mubarak Al-Harthi,athletics,OMA,male,15/06/1988,28.2,1.73,67
Kirstie Elaine Alora,taekwondo,PHI,female,25/11/1989,26.7,1.73,67
Keagan Dolly,football,RSA,male,22/01/1993,23.6,1.73,67
Anastasiia Baryshnikova,taekwondo,RUS,female,19/12/1990,25.6,1.73,67
Ahmet Li,table tennis,TUR,male,12/01/1991,25.6,1.73,67
Kathleen Baker,aquatics,USA,female,28/02/1997,19.4,1.73,67
Jayme Mata,judo,ARU,male,17/12/1982,33.7,1.72,67
Carmen Marton,taekwondo,AUS,female,30/06/1986,30.1,1.72,67
Michelle Jenneke,athletics,AUS,female,23/06/1993,23.1,1.72,67
Nadzeya Liapeshka,canoe,BLR,female,26/04/1989,27.3,1.72,67
Ana Paula Belo,handball,BRA,female,18/10/1987,28.8,1.72,67
Beatriz Muhlbauer,rugby sevens,BRA,female,26/02/1986,30.5,1.72,67
Fernanda Decnop,sailing,BRA,female,19/06/1987,29.2,1.72,67
Jessica Quintino,handball,BRA,female,17/04/1991,25.3,1.72,67
Alysha Newman,athletics,CAN,female,29/06/1994,22.1,1.72,67
Georgia Simmerling,cycling,CAN,female,11/03/1989,27.4,1.72,67
Shelina Zadorsky,football,CAN,female,24/10/1992,23.8,1.72,67
Jose Antonio Hermida Ramos,cycling,ESP,male,24/08/1978,38,1.72,67
Mathilde de Kerangat,sailing,FRA,female,14/10/1991,24.8,1.72,67
Hannah Macleod,hockey,GBR,female,09/06/1984,32.2,1.72,67
Seiya Adachi,aquatics,JPN,male,24/06/1995,21.1,1.72,67
Seungwoo Ryu,football,KOR,male,17/12/1993,22.6,1.72,67
Guanjie Johnathan Wong,shooting,MAS,male,23/08/1992,24,1.72,67
Michael Albasini,cycling,SUI,male,20/12/1980,35.6,1.72,67
Josefin Olsson,sailing,SWE,female,23/08/1989,27,1.72,67
Magdalena Eriksson,football,SWE,female,08/09/1993,22.9,1.72,67
Matilda Ekholm,table tennis,SWE,female,15/06/1982,34.2,1.72,67
Adela Hanzlickova,wrestling,CZE,female,04/05/1994,22.3,1.71,67
Nanna Koerstz Madsen,golf,DEN,female,23/10/1994,21.8,1.71,67
Bachana Khorava,athletics,GEO,male,15/03/1993,23.4,1.71,67
Lisa Weiss,football,GER,female,29/10/1987,28.8,1.71,67
Miriam Welte,cycling,GER,female,09/12/1986,29.7,1.71,67
Manuel Rodas Ochoa,cycling,GUA,male,05/07/1984,32.1,1.71,67
Eleonora Lo Bianco,volleyball,ITA,female,22/12/1979,36.6,1.71,67
Giulia Emmolo,aquatics,ITA,female,16/10/1991,24.8,1.71,67
Shinya Yajima,football,JPN,male,18/01/1994,22.6,1.71,67
So Hee Lee,badminton,KOR,female,14/06/1994,22.2,1.71,67
Rolf-Goran Bengtsson,equestrian,SWE,male,02/06/1962,54.2,1.71,67
Taoufik Makhloufi,athletics,ALG,male,29/04/1988,28.3,1.7,67
Mariana Duarte,aquatics,BRA,female,05/10/1996,19.8,1.7,67
Natasha Watcham-Roy,rugby sevens,CAN,female,28/04/1992,24.3,1.7,67
Tomas Gonzalez,gymnastics,CHI,male,22/11/1985,30.7,1.7,67
Lumin Wang,wrestling,CHN,male,07/12/1990,25.7,1.7,67
Patricia Taea,athletics,COK,female,25/05/1993,23.2,1.7,67
Macarena Aguilar,handball,ESP,female,12/03/1985,31.4,1.7,67
Marie Mavers,hockey,GER,female,13/02/1991,25.5,1.7,67
Noshad Alamiyan,table tennis,IRI,male,21/11/1991,24.7,1.7,67
Humam Tareq,football,IRQ,male,10/02/1996,20.5,1.7,67
Yoshiaki Oiwa,equestrian,JPN,male,19/07/1976,40.1,1.7,67
Battsetseg Soronzonbold,wrestling,MGL,female,03/05/1990,26.3,1.7,67
Danka Kovinic,tennis,MNE,female,18/11/1994,21.7,1.7,67
Majda Mehmedovic,handball,MNE,female,25/05/1990,26.2,1.7,67
Tiffany Geroudet,fencing,SUI,female,03/09/1986,29.9,1.7,67
Pablo Defazio Abella,sailing,URU,male,15/05/1981,35.2,1.7,67
Hamid Sintes,fencing,ALG,male,08/08/1980,36,1.69,67
Evania Pelite,rugby sevens,AUS,female,12/07/1995,21.1,1.69,67
Henriette Nadege Koulla,volleyball,CMR,female,14/09/1992,23.9,1.69,67
Joseph Turagabeci,football,FIJ,male,19/11/1994,21.7,1.69,67
Grace Reid,aquatics,GBR,female,09/05/1996,20.3,1.69,67
Theodora Drakou,aquatics,GRE,female,06/02/1992,24.5,1.69,67
Frank Rijken,gymnastics,NED,male,24/11/1996,19.7,1.69,67
Elizabeth Keddell,hockey,NZL,female,31/01/1994,22.5,1.69,67
Chao He,aquatics,CHN,male,11/02/1992,24.5,1.68,67
Catalina Usme,football,COL,female,25/12/1989,26.6,1.68,67
Jose Ignacio Diaz,athletics,ESP,male,22/11/1979,36.7,1.68,67
Petrissa Solja,table tennis,GER,female,11/03/1994,22.4,1.68,67
Methkal Abu Drais,athletics,JOR,male,29/12/1983,32.6,1.68,67
Maha Haddioui,golf,MAR,female,15/05/1988,28.2,1.68,67
Maila Machado,athletics,BRA,female,22/01/1981,35.6,1.67,67
Hairim Song,handball,KOR,female,12/01/1985,31.6,1.67,67
Nikolina Moldovan,canoe,SRB,female,01/05/1990,26.3,1.67,67
Igor Radivilov,gymnastics,UKR,male,19/10/1992,23.8,1.67,67
Migran Arutyunyan,wrestling,ARM,male,25/03/1989,27.4,1.66,67
Tara Whitten,cycling,CAN,female,13/07/1980,36.1,1.66,67
Jong Su Kim,shooting,PRK,male,01/01/1977,39.6,1.66,67
Nikita Nagornyy,gymnastics,RUS,male,12/02/1997,19.5,1.66,67
Phuttharaksa Neegree,rowing,THA,female,25/02/1974,42.5,1.66,67
Daniela Matarazzo Carraro,shooting,BRA,female,25/03/1985,31.4,1.65,67
Zoya Ananchenko,canoe,KAZ,female,05/09/1996,19.9,1.65,67
Terina Te Tamaki,rugby sevens,NZL,female,01/05/1997,19.3,1.65,67
Lianna Swan,aquatics,PAK,female,25/03/1997,19.4,1.65,67
Ying Chen,shooting,CHN,female,04/11/1977,38.8,1.64,67
Asha Philip,athletics,GBR,female,25/10/1990,25.8,1.64,67
Frida Andersen,equestrian,SWE,female,09/06/1990,26.2,1.64,67
Henna Katarina Johansson,wrestling,SWE,female,01/05/1991,25.3,1.64,67
Darya Pachabut,weightlifting,BLR,female,31/12/1994,21.6,1.63,67
Anastasiya Mikhalenka,weightlifting,BLR,female,08/12/1995,20.7,1.62,67
S.S.P. Chawrasia,golf,IND,male,15/05/1978,38.3,1.6,67
Aleksandra Jarmolinska,shooting,POL,female,06/09/1990,25.9,1.6,67
Christopher Linke,athletics,GER,male,24/10/1988,27.8,1.91,66
Alex Sobers,aquatics,BAR,male,13/11/1998,17.7,1.88,66
Cam Kurle,aquatics,GBR,male,19/07/1997,19.1,1.86,66
Federico Bruno,athletics,ARG,male,18/06/1993,23.1,1.85,66
Yohann Diniz,athletics,FRA,male,01/01/1978,38.6,1.85,66
Viktoria Zeynep Gunes,aquatics,TUR,female,19/06/1998,18.1,1.85,66
Kristina Mladenovic,tennis,FRA,female,14/05/1993,23.2,1.84,66
Kamila Licwinko,athletics,POL,female,22/03/1986,30.4,1.84,66
Julian Flugel,athletics,GER,male,18/04/1986,30.3,1.83,66
Anton Kosmac,athletics,SLO,male,14/12/1976,39.7,1.83,66
Koen Naert,athletics,BEL,male,03/09/1989,26.9,1.82,66
Weiwei Zhang,aquatics,CHN,female,07/10/1990,25.8,1.82,66
Michael Rimmer,athletics,GBR,male,03/02/1986,30.5,1.82,66
Alireza Khojasteh,judo,IRI,male,28/03/1997,19.4,1.82,66
Yoo Na Bae,volleyball,KOR,female,30/11/1989,26.7,1.82,66
Pedro Veniss,equestrian,BRA,male,06/01/1983,33.6,1.81,66
Allison Pineau,handball,FRA,female,02/05/1989,27.3,1.81,66
Stanley Joseph,athletics,FRA,male,24/10/1991,24.8,1.81,66
Alessandro De Marchi,cycling,ITA,male,19/05/1986,30.2,1.81,66
Shanieka Thomas,athletics,JAM,female,02/02/1992,24.5,1.81,66
Hamish Carson,athletics,NZL,male,01/11/1988,27.8,1.81,66
Evgenia Ukolova,volleyball,RUS,female,17/05/1989,27.2,1.81,66
Anna Flanagan,hockey,AUS,female,08/01/1992,24.6,1.8,66
Joanna Evans,aquatics,BAH,female,25/07/1997,19,1.8,66
Yuliya Khitraya,aquatics,BLR,female,11/09/1989,26.9,1.8,66
Marco Antonio Rodriguez,athletics,BOL,male,24/01/1994,22.5,1.8,66
Mayssa Raquel Pessoa,handball,BRA,female,11/09/1984,31.9,1.8,66
Antoine Bouchard,judo,CAN,male,24/08/1994,22,1.8,66
Matthew Hughes,athletics,CAN,male,03/08/1989,27,1.8,66
Xiang Liu,aquatics,CHN,female,01/09/1996,19.9,1.8,66
Anna Espar Llaquet,aquatics,ESP,female,08/01/1993,23.6,1.8,66
Camille Ayglon Saurina,handball,FRA,female,21/05/1985,31.2,1.8,66
Anass Ait El Abdia,cycling,MAR,male,21/03/1993,23.4,1.8,66
Michal Golas,cycling,POL,male,29/04/1984,32.3,1.8,66
Brian Babilonia,cycling,PUR,male,16/09/1994,21.9,1.8,66
Rozaliya Nasretdinova,aquatics,RUS,female,10/02/1997,19.5,1.8,66
Olaya Perez Pazo,volleyball,VEN,female,07/06/1983,33.2,1.8,66
Georgia Baker,cycling,AUS,female,21/09/1994,21.9,1.79,66
Madeline Groves,aquatics,AUS,female,25/05/1995,21.2,1.79,66
Helene Defrance,sailing,FRA,female,11/08/1986,30,1.79,66
Karla Borger,volleyball,GER,female,22/11/1988,27.7,1.79,66
Eliza McCartney,athletics,NZL,female,11/12/1996,19.7,1.79,66
Lotta Schelin,football,SWE,female,27/02/1984,32.5,1.79,66
Lauren Wells,athletics,AUS,female,03/08/1988,28,1.78,66
Michelle Heyman,football,AUS,female,04/07/1988,28.1,1.78,66
Alexandra Privalova,table tennis,BLR,female,29/10/1987,28.8,1.78,66
Megan Lane,equestrian,CAN,female,04/05/1991,25.3,1.78,66
Huanhuan Ma,aquatics,CHN,female,13/01/1990,26.6,1.78,66
Patricia Castro Ortega,aquatics,ESP,female,06/08/1992,24,1.78,66
Tanel Kangert,cycling,EST,male,11/03/1987,29.4,1.78,66
Kwan Kit Ho,table tennis,HKG,male,20/04/1997,19.3,1.78,66
Man Wai Vivian Kong,fencing,HKG,female,08/02/1994,22.5,1.78,66
Srikanth Kidambi,badminton,IND,male,07/02/1993,23.5,1.78,66
Ristananna Tracey,athletics,JAM,female,09/05/1992,24.3,1.78,66
Haein Sim,handball,KOR,female,31/10/1987,28.8,1.78,66
Jaeyeong Lee,volleyball,KOR,female,15/10/1996,19.8,1.78,66
Junghwan Kim,fencing,KOR,male,02/09/1983,32.9,1.78,66
Lindsay Hanekom,athletics,RSA,male,15/05/1993,23.2,1.78,66
Jin Wei Timothee Yap,athletics,SIN,male,05/11/1994,21.8,1.78,66
Uladzislau Pramau,athletics,BLR,male,03/08/1984,32,1.77,66
Barbara Seixas de Freitas,volleyball,BRA,female,03/08/1987,29,1.77,66
Shuai Zhang,tennis,CHN,female,21/01/1989,27.6,1.77,66
Tafese Seboka,athletics,ETH,male,29/09/1993,22.9,1.77,66
Keri-Anne Payne,aquatics,GBR,female,09/12/1987,28.7,1.77,66
Anna Ntountounaki,aquatics,GRE,female,09/09/1995,20.9,1.77,66
Brayan Ramirez,football,HON,male,16/06/1994,22.2,1.77,66
Sulaiman Hamad,judo,KSA,male,19/05/1994,22.2,1.77,66
Joanna Zachoszcz,aquatics,POL,female,17/04/1993,23.3,1.77,66
Primoz Roglic,cycling,SLO,male,29/10/1989,26.8,1.77,66
Matthew Dawson,hockey,AUS,male,27/04/1994,22.3,1.76,66
Rebecca Quinn,football,CAN,female,11/08/1995,21,1.76,66
Jialu Hao,fencing,CHN,female,20/08/1987,29,1.76,66
Tina Mihelic,sailing,CRO,female,30/12/1988,27.6,1.76,66
Pavel Maslak,athletics,CZE,male,21/02/1991,25.5,1.76,66
Simona Baumrtova,aquatics,CZE,female,24/08/1991,25,1.76,66
Marta Bach Pascual,aquatics,ESP,female,17/02/1993,23.5,1.76,66
Praneel Naidu,football,FIJ,male,29/01/1995,21.5,1.76,66
Beryl Gastaldello,aquatics,FRA,female,16/02/1995,21.5,1.76,66
Haby Niare,taekwondo,FRA,female,26/06/1993,23.1,1.76,66
Kevin Menaldo,athletics,FRA,male,12/07/1992,24.1,1.76,66
Molly Renshaw,aquatics,GBR,female,06/05/1996,20.3,1.76,66
Hamidreza Zooravand,athletics,IRI,male,13/01/1990,26.6,1.76,66
Milda Valciukaite,rowing,LTU,female,24/05/1994,22.2,1.76,66
Maartje Paumen,hockey,NED,female,19/09/1985,30.9,1.76,66
Michal Kwiatkowski,cycling,POL,male,02/06/1990,26.2,1.76,66
Malina Calugareanu,fencing,ROU,female,15/09/1996,19.9,1.76,66
Elena Vesnina,tennis,RUS,female,01/08/1986,30,1.76,66
Olena Kravatska,fencing,UKR,female,22/06/1992,24.1,1.76,66
Barbara Nwaba,athletics,USA,female,18/01/1989,27.6,1.76,66
Chloe Dygert,cycling,USA,female,01/01/1997,19.6,1.76,66
Manuel Alexander Torres,wrestling,VEN,male,20/01/1987,29.6,1.76,66
Nathan Katz,judo,AUS,male,17/01/1995,21.6,1.75,66
Matthias Schmid,sailing,AUT,male,12/12/1980,35.7,1.75,66
Lani Cabrera,aquatics,BAR,female,22/04/1993,23.3,1.75,66
Abbas Abubakar Abbas,athletics,BRN,male,17/05/1996,20.2,1.75,66
Haislan Antonio Veranes Garcia,wrestling,CAN,male,04/03/1983,33.4,1.75,66
Mengqian Ren,athletics,CHN,female,04/10/1993,22.9,1.75,66
